1,2,3,4,5,6,7,9,10
4933,3457,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,2.234
1836,2983,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,1.928
2318,2560,No,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,1.655
1934,2169,No,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,1.402
4285,1925,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,1.244
1814,1844,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,1.192
15286,1813,Yes,Firmicutes,Clostridia,Clostridiales,Unknown,Unknown,1.172
4874,1809,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Fusicatenibacter,1.169
4540,1634,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,1.056
5082,1629,No,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,1.053
4925,1587,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,1.026
15316,1513,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,0.978
4262,1512,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,0.977
1965,1432,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.926
10068,1413,No,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,0.913
17244,1264,No,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,0.817
17248,1245,No,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,0.805
15300,1212,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Gemmiger,0.783
9226,1200,No,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,0.776
15254,1188,Yes,Firmicutes,Clostridia,Clostridiales,Unknown,Unknown,0.768
15369,1152,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,0.745
1626,1146,No,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,0.741
4348,1133,No,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,0.732
4914,1112,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.719
5792,1074,No,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,0.694
5075,1033,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,0.668
1949,1008,No,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,0.651
4844,1007,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,0.651
2303,995,No,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.643
1790,945,No,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,0.611
5111,931,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.602
1830,883,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.571
4367,868,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,0.561
14631,859,No,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,0.555
5117,854,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,0.552
4910,804,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.520
4198,799,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,0.516
5825,781,No,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,0.505
4303,779,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.503
4608,775,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,0.501
15106,724,No,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,0.468
15332,722,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,0.467
15318,720,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,0.465
2295,717,No,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.463
4290,690,No,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,0.446
4327,687,No,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,0.444
4644,683,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.441
15342,682,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,0.441
5767,674,No,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,0.436
4269,657,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.425
1815,654,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.423
14306,629,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.407
6754,623,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.403
